"Tempo (s)","V1 (V)","V2 (V)"
-5E-05,"0,88","1,08"
"-4,996E-05","0,88","1,04"
"-4,992E-05","0,84","1,04"
"-4,988E-05","0,84","1,04"
"-4,984E-05","0,88","1,04"
"-4,98E-05","0,88",1
"-4,976E-05","0,84",1
"-4,972E-05","0,84","1,04"
"-4,968E-05","0,88","1,04"
"-4,964E-05","0,88",1
"-4,96E-05","0,88","0,96"
"-4,956E-05","0,88","1,04"
"-4,952E-05","0,84",1
"-4,948E-05","0,84",1
"-4,944E-05","0,8","1,04"
"-4,94E-05","0,84","1,04"
"-4,936E-05","0,8","1,04"
"-4,932E-05","0,88","1,04"
"-4,928E-05","0,84","1,04"
"-4,924E-05","0,84","1,08"
"-4,92E-05","0,84","1,04"
"-4,916E-05","0,84","1,04"
"-4,912E-05","0,84","1,04"
"-4,908E-05","0,84","1,04"
"-4,904E-05","0,8","1,04"
"-4,9E-05","0,84","1,04"
"-4,896E-05","0,84",1
"-4,892E-05","0,84","0,96"
"-4,888E-05","0,76","1,04"
"-4,884E-05","0,84",1
"-4,88E-05","0,84",1
"-4,876E-05","0,8",1
"-4,872E-05","0,84","0,96"
"-4,868E-05","0,8",1
"-4,864E-05","0,8",1
"-4,86E-05","0,84",1
"-4,856E-05","0,76",1
"-4,852E-05","0,88","0,96"
"-4,848E-05","0,8","0,96"
"-4,844E-05","0,84","0,96"
"-4,84E-05","0,84",1
"-4,836E-05","0,8",1
"-4,832E-05","0,84",1
"-4,828E-05","0,84","1,04"
"-4,824E-05","0,88","0,96"
"-4,82E-05","0,84","1,04"
"-4,816E-05","0,84",1
"-4,812E-05","0,84",1
"-4,808E-05","0,88",1
"-4,804E-05","0,84",1
"-4,8E-05","0,88","0,96"
"-4,796E-05","0,84",1
"-4,792E-05","0,88",1
"-4,788E-05","0,84","0,96"
"-4,784E-05","0,8",1
"-4,78E-05","0,84",1
"-4,776E-05","0,84",1
"-4,772E-05","0,88",1
"-4,768E-05","0,88",1
"-4,764E-05","0,84","0,96"
"-4,76E-05","0,8","0,96"
"-4,756E-05","0,84",1
"-4,752E-05","0,84",1
"-4,748E-05","0,88","0,96"
"-4,744E-05","0,92",1
"-4,74E-05","0,88","0,96"
"-4,736E-05","0,84",1
"-4,732E-05","0,88",1
"-4,728E-05","0,84","0,92"
"-4,724E-05","0,88","0,96"
"-4,72E-05","0,96","0,96"
"-4,716E-05","0,96",1
"-4,712E-05","0,88",1
"-4,708E-05","0,84",1
"-4,704E-05","0,88","0,96"
"-4,7E-05","0,88","0,96"
"-4,696E-05","0,92",1
"-4,692E-05","0,92","0,96"
"-4,688E-05","0,92","0,96"
"-4,684E-05","0,92","0,96"
"-4,68E-05","0,88","0,96"
"-4,676E-05","0,88","0,96"
"-4,672E-05","0,88","0,96"
"-4,668E-05","0,92",1
"-4,664E-05","0,96","0,96"
"-4,66E-05","0,92","0,96"
"-4,656E-05","0,92",1
"-4,652E-05","0,92","0,96"
"-4,648E-05","0,92","0,96"
"-4,644E-05","0,88","0,96"
"-4,64E-05","0,96","0,96"
"-4,636E-05","0,92","0,96"
"-4,632E-05","0,96",1
"-4,628E-05","0,92","0,96"
"-4,624E-05","0,96","0,96"
"-4,62E-05","0,96",1
"-4,616E-05","0,96","0,92"
"-4,612E-05","0,92","0,96"
"-4,608E-05","0,96","0,96"
"-4,604E-05","0,92","0,96"
"-4,6E-05","0,96","0,96"
"-4,596E-05","0,88","0,92"
"-4,592E-05","0,92",1
"-4,588E-05","0,96","0,96"
"-4,584E-05",1,"0,92"
"-4,58E-05",1,"0,96"
"-4,576E-05","0,92","0,96"
"-4,572E-05",1,"0,96"
"-4,568E-05","0,92","0,92"
"-4,564E-05","0,92","0,92"
"-4,56E-05","0,96","0,96"
"-4,556E-05","0,96","0,96"
"-4,552E-05","0,92",1
"-4,548E-05","0,92",1
"-4,544E-05","0,96","0,96"
"-4,54E-05","0,96","0,96"
"-4,536E-05","0,96",1
"-4,532E-05",1,1
"-4,528E-05",1,"0,92"
"-4,524E-05","0,96","0,96"
"-4,52E-05",1,"0,92"
"-4,516E-05","0,96","0,96"
"-4,512E-05","0,96","0,96"
"-4,508E-05",1,"0,96"
"-4,504E-05",1,"0,96"
"-4,5E-05","0,96","0,96"
"-4,496E-05",1,"0,96"
"-4,492E-05","0,92","0,96"
"-4,488E-05",1,"0,96"
"-4,484E-05",1,"0,96"
"-4,48E-05",1,"0,96"
"-4,476E-05","1,04","0,92"
