"Tempo (s)","V1 (V)","V2 (V)"
"-0,005","0,52","0,5"
"-0,004996","0,52","0,5"
"-0,004992","1,52","0,5"
"-0,004988","1,52","0,54"
"-0,004984","1,52","0,6"
"-0,00498","1,52","0,64"
"-0,004976","1,52","0,66"
"-0,004972","1,52","0,7"
"-0,004968","1,52","0,72"
"-0,004964","1,52","0,76"
"-0,00496","1,52","0,78"
"-0,004956","1,52","0,82"
"-0,004952","1,52","0,84"
"-0,004948","1,54","0,88"
"-0,004944","1,52","0,9"
"-0,00494","1,52","0,92"
"-0,004936","1,54","0,94"
"-0,004932","1,52","0,98"
"-0,004928","1,54","1,02"
"-0,004924","1,52","1,02"
"-0,00492","1,52","1,02"
"-0,004916","1,52","1,04"
"-0,004912","1,54","1,06"
"-0,004908","1,52","1,08"
"-0,004904","1,54","1,12"
"-0,0049","1,54","1,1"
"-0,004896","1,56","1,16"
"-0,004892","1,52","1,16"
"-0,004888","1,52","1,18"
"-0,004884","1,54","1,18"
"-0,00488","1,52","1,2"
"-0,004876","1,54","1,22"
"-0,004872","1,52","1,22"
"-0,004868","1,54","1,22"
"-0,004864","1,54","1,24"
"-0,00486","1,54","1,24"
"-0,004856","1,54","1,26"
"-0,004852","1,54","1,26"
"-0,004848","1,54","1,28"
"-0,004844","1,54","1,3"
"-0,00484","1,54","1,32"
"-0,004836","1,54","1,32"
"-0,004832","1,54","1,32"
"-0,004828","1,54","1,34"
"-0,004824","1,54","1,32"
"-0,00482","1,54","1,34"
"-0,004816","1,54","1,34"
"-0,004812","1,54","1,34"
"-0,004808","1,54","1,38"
"-0,004804","1,54","1,36"
"-0,0048","1,54","1,36"
"-0,004796","1,56","1,38"
"-0,004792","1,54","1,38"
"-0,004788","1,52","1,4"
"-0,004784","1,52","1,42"
"-0,00478","1,54","1,4"
"-0,004776","1,54","1,4"
"-0,004772","1,54","1,4"
"-0,004768","1,52","1,4"
"-0,004764","1,52","1,4"
"-0,00476","1,52","1,44"
"-0,004756","1,54","1,42"
"-0,004752","1,54","1,44"
"-0,004748","1,56","1,44"
"-0,004744","1,54","1,44"
"-0,00474","1,54","1,44"
"-0,004736","1,52","1,44"
"-0,004732","1,54","1,46"
"-0,004728","1,54","1,44"
"-0,004724","1,54","1,44"
"-0,00472","1,54","1,44"
"-0,004716","1,54","1,44"
"-0,004712","1,54","1,46"
"-0,004708","1,54","1,46"
"-0,004704","1,54","1,46"
"-0,0047","1,54","1,46"
"-0,004696","1,54","1,46"
"-0,004692","1,54","1,46"
"-0,004688","1,56","1,48"
"-0,004684","1,54","1,48"
"-0,00468","1,54","1,48"
"-0,004676","1,56","1,48"
"-0,004672","1,54","1,46"
"-0,004668","1,54","1,48"
"-0,004664","1,52","1,48"
"-0,00466","1,54","1,48"
"-0,004656","1,54","1,48"
"-0,004652","1,54","1,48"
"-0,004648","1,54","1,48"
"-0,004644","1,54","1,48"
"-0,00464","1,54","1,5"
"-0,004636","1,54","1,48"
"-0,004632","1,54","1,48"
"-0,004628","1,54","1,48"
"-0,004624","1,56","1,5"
"-0,00462","1,54","1,48"
"-0,004616","1,52","1,5"
"-0,004612","1,54","1,48"
"-0,004608","1,54","1,48"
"-0,004604","1,54","1,5"
"-0,0046","1,54","1,5"
"-0,004596","1,54","1,5"
"-0,004592","1,54","1,5"
"-0,004588","1,54","1,5"
"-0,004584","1,54","1,52"
"-0,00458","1,52","1,5"
"-0,004576","1,54","1,5"
"-0,004572","1,56","1,48"
"-0,004568","1,54","1,5"
"-0,004564","1,56","1,52"
"-0,00456","1,56","1,5"
"-0,004556","1,56","1,5"
"-0,004552","1,52","1,5"
"-0,004548","1,56","1,5"
"-0,004544","1,54","1,5"
"-0,00454","1,54","1,5"
