"Tempo (s)","V1 (V)","V2 (V)"
"-0,00025","0,5","0,46"
"-0,0002498","0,48","0,48"
"-0,0002496","0,54","0,46"
"-0,0002494","0,52","0,46"
"-0,0002492","0,54","0,44"
"-0,000249","0,5","0,44"
"-0,0002488","0,52","0,48"
"-0,0002486","0,54","0,44"
"-0,0002484","0,54","0,46"
"-0,0002482","0,5","0,48"
"-0,000248","0,54","0,5"
"-0,0002478","0,52","0,44"
"-0,0002476","0,52","0,42"
"-0,0002474","0,52","0,42"
"-0,0002472","0,52","0,48"
"-0,000247","0,5","0,46"
"-0,0002468","0,52","0,44"
"-0,0002466","0,52","0,44"
"-0,0002464","0,5","0,46"
"-0,0002462","0,5","0,44"
"-0,000246","0,5","0,42"
"-0,0002458","0,52","0,42"
"-0,0002456","0,5","0,44"
"-0,0002454","0,52","0,46"
"-0,0002452","0,5","0,46"
"-0,000245","0,52","0,46"
"-0,0002448","0,52","0,44"
"-0,0002446","0,52","0,46"
"-0,0002444","0,52","0,46"
"-0,0002442","0,52","0,44"
"-0,000244","0,52","0,46"
"-0,0002438","0,52","0,46"
"-0,0002436","0,52","0,48"
"-0,0002434","0,52","0,48"
"-0,0002432","0,52","0,48"
"-0,000243","0,54","0,48"
"-0,0002428","0,52","0,44"
"-0,0002426","0,56","0,42"
"-0,0002424","0,52","0,44"
"-0,0002422","0,54","0,46"
"-0,000242","0,54","0,44"
"-0,0002418","0,52","0,46"
"-0,0002416","0,52","0,48"
"-0,0002414","0,52","0,46"
"-0,0002412","0,5","0,46"
"-0,000241","0,5","0,42"
"-0,0002408","0,52","0,44"
"-0,0002406","0,54","0,46"
"-0,0002404","0,52","0,44"
"-0,0002402","0,52","0,42"
"-0,00024","0,5","0,44"
"-0,0002398","0,52","0,46"
"-0,0002396","0,5","0,44"
"-0,0002394","0,52","0,46"
"-0,0002392","0,5","0,48"
"-0,000239","0,5","0,46"
"-0,0002388","0,52","0,48"
"-0,0002386","0,54","0,48"
"-0,0002384","0,52","0,44"
"-0,0002382","0,52","0,44"
"-0,000238","0,52","0,44"
"-0,0002378","0,5","0,44"
"-0,0002376","0,52","0,46"
"-0,0002374","0,5","0,44"
"-0,0002372","0,5","0,46"
"-0,000237","0,52","0,48"
"-0,0002368","0,52","0,46"
"-0,0002366","0,52","0,44"
"-0,0002364","0,5","0,46"
"-0,0002362","0,52","0,42"
"-0,000236","0,5","0,42"
"-0,0002358","0,5","0,44"
"-0,0002356","0,54","0,44"
"-0,0002354","0,54","0,48"
"-0,0002352","0,52","0,44"
"-0,000235","0,5","0,46"
"-0,0002348","0,5","0,46"
"-0,0002346","0,5","0,46"
"-0,0002344","0,54","0,44"
"-0,0002342","0,52","0,42"
"-0,000234","0,52","0,42"
"-0,0002338","0,52","0,44"
"-0,0002336","0,52","0,44"
"-0,0002334","0,5","0,44"
"-0,0002332","0,5","0,44"
"-0,000233","0,52","0,42"
"-0,0002328","0,52","0,44"
"-0,0002326","0,5","0,46"
"-0,0002324","0,5","0,46"
"-0,0002322","0,5","0,46"
"-0,000232","0,52","0,44"
"-0,0002318","0,52","0,44"
"-0,0002316","0,52","0,46"
"-0,0002314","0,52","0,44"
"-0,0002312","0,54","0,44"
"-0,000231","0,52","0,42"
"-0,0002308","0,52","0,44"
