"Tempo (s)","V1 (V)","V2 (V)"
"-0,000125","0,8","1,02"
"-0,0001249","0,76",1
"-0,0001248","0,8","1,02"
"-0,0001247","0,84",1
"-0,0001246","0,8",1
"-0,0001245","0,76",1
"-0,0001244","0,8","0,98"
"-0,0001243","0,8",1
"-0,0001242","0,76","0,94"
"-0,0001241","0,8","0,98"
"-0,000124","0,8",1
"-0,0001239","0,84","0,98"
"-0,0001238","0,76","0,98"
"-0,0001237","0,84","0,98"
"-0,0001236","0,8","0,96"
"-0,0001235","0,76","0,96"
"-0,0001234","0,76","0,98"
"-0,0001233","0,72","0,96"
"-0,0001232","0,8","0,98"
"-0,0001231","0,76","0,94"
"-0,000123","0,8","0,98"
"-0,0001229","0,8","0,92"
"-0,0001228","0,76","0,94"
"-0,0001227","0,8","0,96"
"-0,0001226","0,76","0,96"
"-0,0001225","0,76","0,96"
"-0,0001224","0,76","0,94"
"-0,0001223","0,8","0,94"
"-0,0001222","0,76","0,94"
"-0,0001221","0,72","0,92"
"-0,000122","0,76","0,94"
"-0,0001219","0,72","0,94"
"-0,0001218","0,76","0,92"
"-0,0001217","0,72","0,96"
"-0,0001216","0,72","0,94"
"-0,0001215","0,72","0,94"
"-0,0001214","0,76","0,94"
"-0,0001213","0,76","0,94"
"-0,0001212","0,8","0,94"
"-0,0001211","0,76","0,94"
"-0,000121","0,76","0,9"
"-0,0001209","0,8","0,9"
"-0,0001208","0,8","0,92"
"-0,0001207","0,76","0,94"
"-0,0001206","0,8","0,9"
"-0,0001205","0,76","0,9"
"-0,0001204","0,72","0,9"
"-0,0001203","0,72","0,9"
"-0,0001202","0,76","0,88"
"-0,0001201","0,76","0,92"
"-0,00012","0,76","0,9"
"-0,0001199","0,68","0,86"
"-0,0001198","0,8","0,88"
"-0,0001197","0,76","0,88"
"-0,0001196","0,76","0,88"
"-0,0001195","0,76","0,86"
"-0,0001194","0,8","0,88"
"-0,0001193","1,28","0,92"
"-0,0001192","1,24","0,88"
"-0,0001191","1,28","0,9"
"-0,000119","1,24","0,9"
"-0,0001189","1,24","0,92"
"-0,0001188","1,28","0,9"
"-0,0001187","1,24","0,9"
"-0,0001186","1,24","0,92"
"-0,0001185","1,28","0,94"
"-0,0001184","1,2","0,94"
"-0,0001183","1,24","0,92"
"-0,0001182","1,24","0,94"
"-0,0001181","1,24","0,9"
"-0,000118","1,24","0,92"
"-0,0001179","1,24","0,96"
