"Tempo (s)","V1 (V)","V2 (V)"
"-0,005","0,88",0
"-0,004996","0,88",0
"-0,004992","0,88",0
"-0,004988","0,88",0
"-0,004984","0,88",0
"-0,00498","0,88",0
"-0,004976","0,88",0
"-0,004972","0,84",0
"-0,004968","0,84",0
"-0,004964","0,84",0
"-0,00496","0,84",0
"-0,004956","0,88",0
"-0,004952","0,84",0
"-0,004948","0,84",0
"-0,004944","0,84",0
"-0,00494","0,84",0
"-0,004936","0,84",0
"-0,004932","0,84",0
"-0,004928","0,84",0
"-0,004924","0,84",0
"-0,00492","0,84",0
"-0,004916","0,84",0
"-0,004912","0,84",0
"-0,004908","0,8",0
"-0,004904","0,8","-0,04"
"-0,0049","0,8",0
"-0,004896","0,8",0
"-0,004892","0,76",0
"-0,004888","0,8",0
"-0,004884","0,8",0
"-0,00488","0,76",0
"-0,004876","0,76",0
"-0,004872","0,8",0
"-0,004868","0,76",0
"-0,004864","0,76",0
"-0,00486","0,76",0
"-0,004856","0,72",0
"-0,004852","0,72",0
"-0,004848","0,72",0
"-0,004844","0,72",0
"-0,00484","0,72",0
"-0,004836","0,72",0
"-0,004832","0,72",0
"-0,004828","0,72",0
"-0,004824","0,72",0
"-0,00482","0,68",0
"-0,004816","0,72",0
"-0,004812","0,72",0
"-0,004808","0,72",0
"-0,004804","0,72",0
"-0,0048","0,68",0
"-0,004796","0,68",0
"-0,004792","0,68",0
"-0,004788","0,68",0
"-0,004784","0,68",0
"-0,00478","0,68",0
"-0,004776","0,68",0
"-0,004772","0,68",0
"-0,004768","0,64",0
"-0,004764","0,64",0
"-0,00476","0,68",0
"-0,004756","0,68",0
"-0,004752","0,64",0
"-0,004748","0,64",0
"-0,004744","0,64",0
"-0,00474","0,64",0
"-0,004736","0,64",0
"-0,004732","0,64",0
"-0,004728","0,6",0
"-0,004724","0,6",0
"-0,00472","0,6",0
"-0,004716","0,6",0
"-0,004712","0,6",0
"-0,004708","0,6",0
"-0,004704","0,6",0
"-0,0047","0,56",0
"-0,004696","0,56",0
